"gene","PC_1","PC_2","PC_3","PC_4","PC_5","PC_6","PC_7","PC_8","PC_9","PC_10","PC_11","PC_12","PC_13","PC_14","PC_15","PC_16","PC_17","PC_18","PC_19","PC_20","PC_21","PC_22","PC_23","PC_24","PC_25","PC_26","PC_27","PC_28","PC_29","PC_30","PC_31","PC_32","PC_33","PC_34","PC_35","PC_36","PC_37","PC_38","PC_39","PC_40","PC_41","PC_42","PC_43","PC_44","PC_45","PC_46","PC_47","PC_48","PC_49","PC_50"
"Ccl5",0.00651963983815195,0.00255272374564476,-0.00234390753950416,-0.000773120848037859,-0.00230050862163649,-0.0176467376918311,-0.00745870277976431,-0.00362892174586908,-0.000275343476386727,-0.00619994162995715,-0.0696262403966118,0.0170019871960043,0.124325539000838,0.0809486534766797,-0.0441370232072891,-0.0869886100483517,0.00981704125489708,0.015629913678581,0.0155598078348192,0.0084059234905672,-0.0213979272404964,0.0102469263952584,0.0305943022327006,0.0126339988024642,0.00609690757817727,0.00199876506671007,-0.010223406943664,-0.00610471792317817,-0.0207065803941679,0.00528955845840999,0.0173583826080811,0.0122662628856087,0.00404884274313116,-0.00238479305086193,-0.0212269808683929,0.00316683215765309,-0.0334933512064701,-0.0568636937892817,-0.0199621724225366,0.0431178535601861,0.0191140793098049,-0.0844707332730508,-0.016717015745066,-0.0293925822641813,-0.00191376831967917,0.0330251161531036,0.020392360727106,-0.00112444036572228,-0.0302438880056947,-0.0557708031729678
"Dcn",-0.00412466314644357,0.00305632807511821,-0.0132256392049547,-0.00184472263167001,0.000791724919218712,-0.00212722212944412,-0.0151135275341329,0.0419085523919389,-0.0673155120203786,-0.0041718907155231,-0.00888261129378265,-0.0726749333469244,-0.0500284865908598,0.137973705998077,0.102021582199855,0.0106388056970142,0.00466345680976161,0.00180885025549832,0.00577622207813137,-0.0186958429921451,-0.0197245258883275,-0.0280527670523254,0.0260760208542781,-0.0286753290584806,-0.0434843803139115,0.0347339954222671,-0.0537704323261378,0.0157567418131964,0.0167351050172384,-0.00412530811272441,-0.0105473401474423,0.00437251628809456,0.0193504221876617,-0.010487698799705,0.0102564084438071,-0.0166173312419127,0.0354882550628415,-0.00856130321783102,-0.0006321734651331,0.0543690203380685,-0.00775951345338903,0.00481357640747396,-0.0161012659766505,0.0678450218904749,0.0232026962234584,0.0238976766562585,-0.0366463984357111,0.0140514044340572,-0.00174305834453558,-0.0151343546004438
"Cldn11",-0.0127575622268951,0.0313356409210873,0.00763709933879559,0.0899795491381916,0.00562813243831925,-0.007015829765157,-0.00493170610466614,-0.000449670275962137,-0.00302342272820685,0.00442711572421249,0.000381052412074644,-0.00792139974035524,-0.00140106704990406,0.00444761098756727,0.00597079437597129,0.00573549057652402,0.00141202355679519,0.00563962745735295,0.0107919843210295,-0.000949316806956111,0.00477945746979531,0.00471227426060738,0.00403283896360273,0.00215379325350845,0.0134354668975591,-0.00988693288346018,0.000938919895595046,0.011206245499172,-0.027104962685142,0.00156932139581348,-0.00915772307922984,-0.0197003285710284,-0.018112512496765,-0.0117310215209487,0.0030965983673642,-0.00474797143651495,0.00280251712381333,-0.00184773420613745,0.0054997126024837,0.00937068406504613,-0.00107802304817589,-0.00782348821835964,0.0146015709546881,-9.75121571302113e-05,0.0177957530634553,-0.011391552042329,8.34382600572985e-05,0.0178551503738715,-0.0196707820193647,0.0174703607547212
"Vtn",-0.0118248150755109,0.00462712339934569,-0.0510555256279768,-0.00375926612120641,0.00920993221434963,0.00170581127028014,-0.0261483589042772,0.0694086224113672,-0.150299249223869,0.00377140285131651,-0.0137416738080406,0.0261059004844999,-0.00385198977395077,-0.0226010300911791,-0.00796590316694279,-0.00808783743891521,-0.0104474833854242,0.0175838295721401,0.00367925967834079,0.00210962281163769,0.0254771411720498,0.00823697160420072,0.0340761421453684,-0.0148766096569135,-0.0196331644078039,0.0133171451080369,-0.0166455284873357,-0.034106101215841,0.0127918026357541,0.00223609566595562,-0.00131139723984052,0.0310772301400307,0.00382812642518912,-0.000483434801472672,0.00632204912212317,0.0149098102744146,-0.0124268140872266,0.00782672040013279,0.00977412931435969,-0.0253739893709363,0.00620598711478678,-0.000349313028211281,0.00565056016966477,-0.0419805027806186,0.00292663957512897,0.0229867182894458,-0.0386040741151674,-0.0203149389325359,0.0083497458926197,0.0244131127920636
"Plac8",0.0209522446617453,0.00459739669454264,-0.00888516438964123,-0.00164675983384653,-0.0057282500463934,-0.0834524746385372,0.0584232466208654,-0.0130050697074173,-0.00581902736029318,-0.0224130274846107,-0.0702772221342628,0.00727265946595636,-0.039489270022576,-0.0300385539308671,0.02841940619865,-0.00463460102689462,-0.00355673959393028,0.0212546350148832,0.0444345750665147,-0.100423020837629,-0.00878051263915702,0.0303299247853878,0.0351880735607042,0.0191062907435527,0.0200033694197645,0.0362577721575448,0.0090989805849077,0.0175777678003328,0.0152516750862999,0.00917235968136959,0.00103377544967237,-8.99794090583531e-05,0.0101199008587938,-0.043854106559521,-0.0053489325452071,-0.0377522103425018,0.0203086522179633,0.0509672413501219,-0.0419573035690127,0.00254783985557971,0.0412934845398114,0.0855419582060723,0.0359420018014689,0.0145304674095949,0.00517154363099466,-0.0174941183428248,0.0169119135341579,-0.00775460899844069,0.0292567712537103,0.0196689303694866
"Wfdc17",0.0258218749182964,0.00576117906812572,-0.00842058941843591,-0.00237648135463833,-0.00593795948651267,-0.0948500212372159,0.050769510981806,-0.00743848482181974,-0.0129405747535,-0.0115609307684771,0.0582447630828326,-0.0164834282164356,0.00408018176196939,-0.0147732041787047,-0.0024984940804614,0.0276614699486367,-0.00559797904192328,0.00832226207249583,-0.00190353847002493,0.0372329778067242,-0.00243338362972066,-0.0128533954132308,0.0165075118642061,-0.00977775356999818,0.00256925968312006,0.00648907372178847,-0.00802734660404353,0.000677388634366579,-0.0313765893344651,0.0118272071737206,0.0433661192098901,0.0172446733389713,-0.0195020425479956,0.0271237143124701,0.0624563388481874,-0.0418134004117747,0.00218942800946216,0.075632957447845,-0.0275921331730617,0.00970277996941528,0.0255006138970686,-0.0060282830971905,7.21180378585152e-05,-0.00456832871102174,0.0030271094891724,-0.00152092851477681,0.00268473398204576,-0.00370187074132158,-0.00220525853590352,-0.0231823586378292
"Lcn2",-0.00435578834513628,-0.00981385625145489,0.00553256265540068,-0.00131272554528236,0.00161687465824017,-0.0349932524664066,0.00249767694087167,0.0250856001138969,0.00613489957839131,0.0674373908376384,0.0326848683441098,-0.101775349504987,0.0597206949403024,-0.043415374127962,0.0232162873904337,-0.0124510169160499,-0.0881991990110466,0.0230628487473532,-0.0491082785854255,-0.00863294921606839,0.0762376485126057,0.0778996547614799,-0.0238174855972712,0.0276835949842611,0.0080560725341145,-0.00241607707158973,-0.0351854147136725,-0.0111981393388955,-0.0304427592300454,0.00677741378681733,-0.0932563166390368,-0.00746350167550752,0.0569149522519571,-0.00246080095133911,-0.0282812898598192,-0.0212466427876955,0.0654626064391912,-0.0571591570331603,-0.00570681521918512,-0.00934090577946336,0.00364208570477061,0.00110364550292027,-0.0434680016834438,-0.0612544482037876,0.0240586742186494,-0.0218398427447305,0.0363858989181961,-0.0101327386136343,0.0182304800440155,-0.0295797353087971
"Spp1",0.0151919800149973,0.0135283264060059,-0.0143000704715913,-0.00230726467670061,-0.00243087524974453,-0.0608540143854553,-0.12915505969702,0.0254675669021748,0.000789357520108205,0.0489755598647734,-0.00800911686021424,0.00763887412550097,0.0210978059514867,-0.00110448543713951,0.0125079792536756,0.0287975221648944,0.0585214582252708,0.0418068341318256,0.0350595905971983,-0.01719736025646,0.0290995254670258,0.0103764823966335,0.0291783667757016,0.0375759099494962,0.0228878834233246,0.00202237743743745,-0.0606117561685052,-0.0693553173922421,-0.0809780813938384,-0.0132928285406506,0.00867356382662218,-0.0310550869204887,0.000563936809138255,0.0123839304117219,-0.00636038177265787,-0.0247745420487033,-0.00854312182797152,0.00654274157699766,0.0390358791210577,0.0234309752902664,0.0274041635043334,-0.0155621965165278,0.0483731550646087,0.0380636611380627,-0.0438896772337544,0.0620693321393533,-0.00597089795012054,0.00798519765602162,-0.00189691749555788,0.0281065389378863
"Lyz2",0.0394997890982058,0.0116275958035712,-0.0100896384764753,-0.00192736906690194,-0.00527997851511998,-0.0729160035610836,-0.00362550597952934,-0.0203331622833459,-0.00987677208427782,-0.0858722585698994,0.0354712189948808,-0.0302553413286311,-0.00828424769488831,-0.0410148302895464,0.00929663954386992,-0.00727661392966779,0.0205154822040065,0.029342484301583,0.0186901556908937,-0.0439987742053748,0.0263575344693118,-0.0052046804584542,0.00430168423631673,0.0160341724955622,0.00461641743625842,-0.00796118866388886,-0.0152400484357341,-0.0123380491523968,-0.0104613755387771,-0.00518976330026043,0.00166292199703999,-0.00791015112928526,0.0143372902289628,-0.0100122608565308,-0.0292514214921615,0.0281914206956792,-0.0144070730025032,-0.0431215784093365,0.0349666403883183,-0.00166358264494357,-0.0157012560845631,-0.0350650227495174,0.00899476274825691,0.00831327446657913,0.000106850355595977,-0.022779376163076,-0.0365690909536155,0.00112621422935977,-0.0133955213471867,-0.0121236683634925
"Wfdc21",0.00755901619681923,0.000512512402137042,-0.0027071343732458,-0.0016996569829574,-0.00158111575827053,-0.0506020234464084,0.0824821387814686,0.0181428815017108,-0.0134300815240851,0.0936104373247632,0.111698703510457,-0.0152665135814382,0.0461171710544961,0.0268046489388811,-0.0298714870676669,0.0209205771349318,-0.0609062036933353,0.00281777258363641,-0.0333620553643783,-0.0375816671952188,0.0293640964004727,-0.0497025652200203,-0.0175493146410743,0.00801582836075917,-0.0170270293451375,-0.0500975137565504,-0.0169596174552989,-0.0397226304774763,-0.00495495007571334,-0.0118441431479909,-0.0387927963300119,-0.0144026365700895,0.0105435128333822,0.00116429258832355,-0.0273957410713823,0.00601682021289786,-0.0114533391571489,-0.0305661029839871,0.00435615189732143,0.0182755223023078,-0.0189761040707915,-0.0102083250779969,0.000559239850000464,-0.00577869506247087,-0.00253026445860638,0.00418523266610691,-0.0114957490564859,-0.00437070586227824,-0.0205259297608293,-0.0115067714650285
