gene,importance,rank,method
Fgfbp1,0.4132422683331944,241,Logistic Regression
Tnfrsf12a,0.4131822191730833,242,Logistic Regression
mt-Nd4,0.4129448601976044,243,Logistic Regression
Ptprcap,0.41279614169437023,244,Logistic Regression
S100a10,0.4125370498097692,245,Logistic Regression
Igf1,0.4111400255623786,246,Logistic Regression
Egfl8,0.410752663234617,247,Logistic Regression
Slfn1,0.41030526936329714,248,Logistic Regression
Abhd2,0.409552263614046,249,Logistic Regression
Ccl5,0.4095413908310779,250,Logistic Regression
Gda,0.40935839874715485,251,Logistic Regression
Rtn1,0.4082871054475177,252,Logistic Regression
Col8a1,0.4071975347067456,253,Logistic Regression
Slc4a10,0.4071576925100649,254,Logistic Regression
Tmem176b,0.407133129776739,255,Logistic Regression
Slpi,0.4070351861641134,256,Logistic Regression
Klrk1,0.4065701313179732,257,Logistic Regression
Egr1,0.40563206788584266,258,Logistic Regression
Nfkbiz,0.4048813399247844,259,Logistic Regression
Adamts9,0.4048035589432737,260,Logistic Regression
Lyz2,0.40442842664763756,261,Logistic Regression
Ctsl,0.4041061627552638,262,Logistic Regression
Il4ra,0.4040548526340662,263,Logistic Regression
Fxyd5,0.4023458945584567,264,Logistic Regression
Aldh1a1,0.4020855358034385,265,Logistic Regression
Usp50,0.4015252585456329,266,Logistic Regression
Mfap2,0.4008554827569762,267,Logistic Regression
Pla1a,0.4007915765458957,268,Logistic Regression
Myc,0.40039669218814916,269,Logistic Regression
Cd177,0.39996038247027854,270,Logistic Regression
Tgfbi,0.3998923847683352,271,Logistic Regression
Fgl2,0.3997723181571543,272,Logistic Regression
Il33,0.39916725080679255,273,Logistic Regression
Gm10116,0.3989252568585464,274,Logistic Regression
Nkg7,0.3984568007423221,275,Logistic Regression
Tmem176a,0.3983552959287654,276,Logistic Regression
Rab7b,0.3983372101371652,277,Logistic Regression
Gadd45g,0.39761148438611205,278,Logistic Regression
Rcan1,0.39751845030356947,279,Logistic Regression
F13a1,0.3974460763633751,280,Logistic Regression
Kdm6b,0.39719804518704194,281,Logistic Regression
Gpihbp1,0.3956834125498626,282,Logistic Regression
Ttyh2,0.3955634537532379,283,Logistic Regression
Ifitm3,0.3952391381154353,284,Logistic Regression
Edn1,0.39467573871922806,285,Logistic Regression
Ifit2,0.39459610466508227,286,Logistic Regression
Mal,0.39415228954752024,287,Logistic Regression
Plscr2,0.3941163900787956,288,Logistic Regression
Klra2,0.3939717225501507,289,Logistic Regression
Gpr182,0.3939422060664113,290,Logistic Regression
Hspa5,0.39294780442314287,291,Logistic Regression
Cxcl2,0.39289480872410404,292,Logistic Regression
BC051019,0.39286401121578596,293,Logistic Regression
Rgcc,0.39274207072441913,294,Logistic Regression
Clec4a1,0.3926002847836683,295,Logistic Regression
Gbp3,0.3925828676031573,296,Logistic Regression
Srxn1,0.39237457154961985,297,Logistic Regression
Thrsp,0.39232928702169384,298,Logistic Regression
Cdc42ep3,0.39231725264146916,299,Logistic Regression
Cst7,0.39223652405292264,300,Logistic Regression
Fbxl22,0.3912928383246942,301,Logistic Regression
Lst1,0.3908867063051941,302,Logistic Regression
Pilra,0.3904570002309502,303,Logistic Regression
Bcl2a1d,0.3898279399671781,304,Logistic Regression
Col13a1,0.38887858830735034,305,Logistic Regression
Traf1,0.38851366888324573,306,Logistic Regression
Ctsb,0.3882844788423667,307,Logistic Regression
Timp3,0.38777391810984013,308,Logistic Regression
Ecscr,0.38736603732193087,309,Logistic Regression
Hspa1a,0.38731815154601146,310,Logistic Regression
Emcn,0.3870394041409998,311,Logistic Regression
Amica1,0.38694449880513443,312,Logistic Regression
Clec14a,0.3867026906550501,313,Logistic Regression
Agt,0.38603079225410153,314,Logistic Regression
Smim5,0.3860212359818591,315,Logistic Regression
Pf4,0.38585782036687655,316,Logistic Regression
Vcam1,0.3857376103581424,317,Logistic Regression
Emb,0.38466251604074575,318,Logistic Regression
Srgn,0.38401292883404625,319,Logistic Regression
Hist2h2aa1,0.3835398600051322,320,Logistic Regression
Serping1,0.383207404656774,321,Logistic Regression
Bmp7,0.3823485495640712,322,Logistic Regression
Col3a1,0.38225300801423445,323,Logistic Regression
Dpep2,0.3818828123836652,324,Logistic Regression
Plin2,0.3818810936622662,325,Logistic Regression
Ifi27l2a,0.3804884037396943,326,Logistic Regression
Pi15,0.3803354646436252,327,Logistic Regression
Gapdh,0.3795314939675905,328,Logistic Regression
Sirpb1a,0.3794552579949987,329,Logistic Regression
Chil1,0.37898631272375494,330,Logistic Regression
Notch2,0.3787838381841097,331,Logistic Regression
Rnase6,0.37834822980188987,332,Logistic Regression
