gene,importance,rank,method
Srgn,0.023679557490265016,186,XGBoost
Tnfaip2,0.02367360581924761,187,XGBoost
Pyhin1,0.023668679730068743,188,XGBoost
Slfn4,0.023618340719167737,189,XGBoost
Sirpb1a,0.023613583757952455,190,XGBoost
Marcksl1,0.023611988567386517,191,XGBoost
AW112010,0.023579215067424223,192,XGBoost
Emb,0.023547067698782218,193,XGBoost
H2-Q10,0.02347923513251224,194,XGBoost
Tnfrsf12a,0.023461517026710007,195,XGBoost
Cd163,0.023377745469210433,196,XGBoost
Mgp,0.023347165357959287,197,XGBoost
Angpt2,0.023292089247268027,198,XGBoost
Timp1,0.023233627316592644,199,XGBoost
Sdf2l1,0.023219029284197414,200,XGBoost
Fkbp1a,0.02317080383517484,201,XGBoost
Ednrb,0.023119523753390634,202,XGBoost
Tmsb10,0.022971641142409356,203,XGBoost
Adamts9,0.022956888266738928,204,XGBoost
Cd177,0.022953894360563096,205,XGBoost
Rdh12,0.022948669860230156,206,XGBoost
Isg15,0.022915417892027296,207,XGBoost
Thbs1,0.02287642300492537,208,XGBoost
Plek,0.022867021810116284,209,XGBoost
Actb,0.022830414735519416,210,XGBoost
Ifi47,0.02279770133602884,211,XGBoost
Slc7a11,0.022794394724662253,212,XGBoost
Slc6a20a,0.02274181892556346,213,XGBoost
Klrd1,0.022733847831979365,214,XGBoost
Ms4a8a,0.022657216369433977,215,XGBoost
Ngp,0.02265204905877625,216,XGBoost
Ecm1,0.02257924710951735,217,XGBoost
AI607873,0.02252709848515704,218,XGBoost
Ms4a4b,0.022510529155978887,219,XGBoost
Gm4955,0.022482730081621126,220,XGBoost
Irf7,0.02241069519257887,221,XGBoost
Serpina3n,0.02240861140840412,222,XGBoost
Emilin2,0.022384548192325174,223,XGBoost
Lpcat2,0.022383285705866934,224,XGBoost
Pld3,0.022363052913861575,225,XGBoost
Npl,0.02235916299126146,226,XGBoost
Cxcl10,0.02235808981408729,227,XGBoost
Cfh,0.02232395876877065,228,XGBoost
H2-DMb2,0.022293126936930655,229,XGBoost
Vcam1,0.022279144719451423,230,XGBoost
Hist2h2aa1,0.022167087080534116,231,XGBoost
Apoe,0.022164417597339357,232,XGBoost
S100a10,0.022149482689580575,233,XGBoost
Fcgr4,0.022144929708084106,234,XGBoost
Ifi204,0.02213813764148865,235,XGBoost
Ear2,0.02208482389724499,236,XGBoost
Fpr1,0.022023657972405308,237,XGBoost
Sgk1,0.02198860430493865,238,XGBoost
Bcl2a1d,0.021969015711573822,239,XGBoost
Iigp1,0.021968411279937202,240,XGBoost
Bcl2a1b,0.02194645443514585,241,XGBoost
Ecscr,0.021942835221409572,242,XGBoost
Amica1,0.021924889338719403,243,XGBoost
Cbr2,0.021921576198207077,244,XGBoost
Pirb,0.021819698032186953,245,XGBoost
Ifit1,0.021816030303091007,246,XGBoost
Cxcl2,0.02178878054180283,247,XGBoost
Tgtp2,0.02173941890210716,248,XGBoost
Psmb8,0.021737149552226186,249,XGBoost
Adm,0.02171969780844618,250,XGBoost
Vtn,0.021705409257116122,251,XGBoost
Ly6g,0.021703864913126262,252,XGBoost
Lyz2,0.02168677996366567,253,XGBoost
Cp,0.021662630585728978,254,XGBoost
Cd44,0.021623251736689504,255,XGBoost
Gpr141,0.021613789477486076,256,XGBoost
Car4,0.021585989758836528,257,XGBoost
Ltc4s,0.02151879793232919,258,XGBoost
Igfbp7,0.021508926106304994,259,XGBoost
Clec4a2,0.021478750592044387,260,XGBoost
Gsr,0.021464226699873145,261,XGBoost
mt-Co1,0.021442247289175487,262,XGBoost
Hpgd,0.02141826703176604,263,XGBoost
Cybb,0.02141077614360129,264,XGBoost
Klrk1,0.02137780712416303,265,XGBoost
Ifi205,0.02134200906729867,266,XGBoost
Arg2,0.021289820953574873,267,XGBoost
Fxyd5,0.021276749540088718,268,XGBoost
Esd,0.02124603959968375,269,XGBoost
Scgb3a1,0.021241912708520005,270,XGBoost
Gm2a,0.02117703433713302,271,XGBoost
Igfbp3,0.02115360034758592,272,XGBoost
Plk2,0.021142661291159236,273,XGBoost
Ms4a6b,0.021133833270606424,274,XGBoost
Arhgap15,0.021117651614236663,275,XGBoost
Gbp2,0.02106700385013144,276,XGBoost
Ptprcap,0.021065370934604255,277,XGBoost
Cycs,0.021047394837904146,278,XGBoost
Dpep2,0.021025740661539862,279,XGBoost
Neat1,0.021018950784753028,280,XGBoost
Aprt,0.020956511041627365,281,XGBoost
Ehd4,0.02093753816786221,282,XGBoost
Ifit3b,0.020933058349693272,283,XGBoost
Ptn,0.020932302189373017,284,XGBoost
Smpdl3a,0.02092550359375459,285,XGBoost
Clec4a1,0.020899234070902935,286,XGBoost
Pydc4,0.02087242586168076,287,XGBoost
Vwf,0.020837412571654758,288,XGBoost
Junb,0.020827329483009454,289,XGBoost
Mrgpra2b,0.020782961977396795,290,XGBoost
Litaf,0.020779438131178406,291,XGBoost
Myc,0.02077458460322904,292,XGBoost
Tsc22d1,0.0207706410069549,293,XGBoost
Cd209a,0.02074202057173607,294,XGBoost
Clec4a3,0.020727714185790547,295,XGBoost
Colec12,0.020692193136485737,296,XGBoost
Ifi203,0.020686197224304315,297,XGBoost
Rnase4,0.020657518730428863,298,XGBoost
Slc15a3,0.02058564283779275,299,XGBoost
Cnn1,0.02057891156022559,300,XGBoost
Osm,0.020537859237753087,301,XGBoost
Pmp22,0.020529581571222137,302,XGBoost
Susd3,0.02051908036701896,303,XGBoost
Fgr,0.020512471077592992,304,XGBoost
Fam20c,0.02049976064141568,305,XGBoost
Adamts4,0.020440387785872656,306,XGBoost
Cited2,0.020430946298261615,307,XGBoost
Angptl4,0.020412928837226195,308,XGBoost
Pi16,0.020398682626361724,309,XGBoost
Tgfbr1,0.020397864523641673,310,XGBoost
P2ry13,0.02038773980075646,311,XGBoost
Pilra,0.0203609643622176,312,XGBoost
Sod3,0.020357768768545916,313,XGBoost
Samhd1,0.020320937647438257,314,XGBoost
Vsir,0.020263564234182314,315,XGBoost
mt-Co3,0.020238253866052776,316,XGBoost
Pln,0.020234246789016565,317,XGBoost
Csf3r,0.020226293030289992,318,XGBoost
Fcrls,0.020197836625081053,319,XGBoost
Gpr65,0.0201889995816492,320,XGBoost
Gpr171,0.020165287577440065,321,XGBoost
Cst7,0.020158151264728898,322,XGBoost
Atp5g1,0.020154152533486677,323,XGBoost
Gpr182,0.020101531457310355,324,XGBoost
Ccl24,0.020057283729618784,325,XGBoost
Gatm,0.020031685311804825,326,XGBoost
Slc6a6,0.02002954325283014,327,XGBoost
Pla1a,0.019984535742374035,328,XGBoost
Nkg7,0.019967817467390063,329,XGBoost
Gfap,0.019959190482123104,330,XGBoost
Nr4a1,0.019951202855054286,331,XGBoost
Igfbp4,0.019947357343472347,332,XGBoost
Mgl2,0.01991821523881684,333,XGBoost
Olfml3,0.019904743970568663,334,XGBoost
Rgs5,0.019868508092123326,335,XGBoost
Cd38,0.019852627096146054,336,XGBoost
Asb2,0.019847493379394888,337,XGBoost
Ramp1,0.019824626895823743,338,XGBoost
Pira2,0.019813805234718915,339,XGBoost
Igtp,0.019812485138608046,340,XGBoost
Lmna,0.019803344537481067,341,XGBoost
Cd68,0.019800566146178297,342,XGBoost
