gene,importance,rank,method
Ackr1,0.024100071832023257,233,Random Forest
Dpep2,0.024003428002554606,234,Random Forest
Rnase4,0.02399223185930715,235,Random Forest
Pld3,0.02394206901709804,236,Random Forest
Sdf2l1,0.023927776842950214,237,Random Forest
Ifi204,0.023871461375348582,238,Random Forest
Cd177,0.02384678929392419,239,Random Forest
Litaf,0.023818754025176848,240,Random Forest
Clec4a2,0.023775905868315378,241,Random Forest
Tnfrsf12a,0.023734269845887185,242,Random Forest
C1qb,0.02362877269847058,243,Random Forest
Pira2,0.02362230432672153,244,Random Forest
Fam20c,0.02359400685076134,245,Random Forest
Amica1,0.02359249457721705,246,Random Forest
Npl,0.02358860233637792,247,Random Forest
Pim1,0.02350885421092203,248,Random Forest
Pilra,0.02343992064755264,249,Random Forest
Arhgap15,0.02343134522515817,250,Random Forest
Cd300lf,0.023423499806155795,251,Random Forest
Ifit3,0.02339112318037692,252,Random Forest
Cxcl12,0.023388553805224404,253,Random Forest
Esd,0.023375120522475843,254,Random Forest
Ldhb,0.023308426105793013,255,Random Forest
Marcks,0.023184314879248318,256,Random Forest
Ms4a4b,0.02318265913141325,257,Random Forest
Tmsb10,0.023172454420371313,258,Random Forest
Ifi205,0.02314657523323329,259,Random Forest
Ear2,0.023133893850936584,260,Random Forest
C1qa,0.023130929453724698,261,Random Forest
Mrgpra2b,0.023072952646692554,262,Random Forest
Gm4955,0.023068893672354436,263,Random Forest
Irf7,0.02296111191607589,264,Random Forest
Timp1,0.022938876595723048,265,Random Forest
Ecm1,0.02286101874649919,266,Random Forest
Frmd4a,0.02283506540357786,267,Random Forest
Slc15a3,0.0227192856456473,268,Random Forest
Clec4a3,0.02269970383348489,269,Random Forest
Ifitm2,0.02269859478993659,270,Random Forest
Apoe,0.022651579881872764,271,Random Forest
Cbr2,0.022634043581651248,272,Random Forest
Gm2a,0.022620134842585203,273,Random Forest
Kcnj8,0.02261700728333525,274,Random Forest
Ly6g,0.022556684170275097,275,Random Forest
Igfbp7,0.02247752255568372,276,Random Forest
Isg15,0.022468426515943295,277,Random Forest
Neat1,0.022373615054187373,278,Random Forest
Maf,0.0223649585312538,279,Random Forest
Lmnb1,0.02235768360371155,280,Random Forest
Tsc22d1,0.02235505084284105,281,Random Forest
Ppfia4,0.0223274876530246,282,Random Forest
Csf3r,0.022269230940366477,283,Random Forest
Cxcl10,0.02219740408005572,284,Random Forest
Ifi203,0.022187792292474313,285,Random Forest
Hist2h2aa1,0.022149432293753865,286,Random Forest
Pydc4,0.022131799813214836,287,Random Forest
Irg1,0.022125641630226296,288,Random Forest
Cycs,0.022121283199937426,289,Random Forest
Samhd1,0.022108391511644905,290,Random Forest
Fscn1,0.022057792836027084,291,Random Forest
H2-DMb2,0.022050487589129104,292,Random Forest
Pmp22,0.02203356385882606,293,Random Forest
Cd38,0.022011821965044396,294,Random Forest
Pilrb2,0.02200926081496044,295,Random Forest
Ctsd,0.021982057760670033,296,Random Forest
Glipr2,0.021968557944313537,297,Random Forest
Coro1a,0.02194184955240841,298,Random Forest
Rgs18,0.02191909598028312,299,Random Forest
Ifitm3,0.02191497356556497,300,Random Forest
Ednrb,0.021912403858113664,301,Random Forest
Lgmn,0.021878764478196144,302,Random Forest
Ccr1,0.02187691681730475,303,Random Forest
Cd33,0.021872260901590536,304,Random Forest
Pla2g7,0.02186801983519142,305,Random Forest
Abi3,0.021854927930542518,306,Random Forest
C1qc,0.021817893381529098,307,Random Forest
AW112010,0.021781500210343432,308,Random Forest
Klrd1,0.0217224965694461,309,Random Forest
Stk17b,0.021704380703384422,310,Random Forest
Ehd4,0.02169317608191643,311,Random Forest
Ccl24,0.021691349378079205,312,Random Forest
Gla,0.021673353392954977,313,Random Forest
Vcam1,0.02166096356023151,314,Random Forest
Gusb,0.021608926641323224,315,Random Forest
Cd68,0.021604491253013218,316,Random Forest
Ngp,0.02156116187557756,317,Random Forest
Gpr65,0.02152828994323696,318,Random Forest
Cfh,0.02152507885449474,319,Random Forest
Glipr1,0.021456123284889356,320,Random Forest
Ifi47,0.021346275497635226,321,Random Forest
Myc,0.021319490555094554,322,Random Forest
Ptpn18,0.02130935907041121,323,Random Forest
Ccl6,0.021301665992160324,324,Random Forest
Hmha1,0.021280710203455084,325,Random Forest
Cp,0.021269467792601842,326,Random Forest
Smpdl3a,0.02125553393322738,327,Random Forest
Hcst,0.021253781932576366,328,Random Forest
Slc6a20a,0.02122935507410523,329,Random Forest
Trim30b,0.02122747204720217,330,Random Forest
Cdk2ap2,0.02119333881580917,331,Random Forest
Rgs2,0.02117762872858585,332,Random Forest
Ctsz,0.0211682660509729,333,Random Forest
Gpr171,0.02116315757915117,334,Random Forest
Klrk1,0.02114209050728102,335,Random Forest
Fam105a,0.021117984954442275,336,Random Forest
AB124611,0.021100339408977462,337,Random Forest
Psmb8,0.020969472764827652,338,Random Forest
Plxdc2,0.020906599817589213,339,Random Forest
Cd209a,0.020853391655991167,340,Random Forest
Pi16,0.020847909505087723,341,Random Forest
Prdx5,0.020812867347412892,342,Random Forest
Gpr35,0.02081148725347065,343,Random Forest
Itgal,0.020801450431571937,344,Random Forest
Arhgdib,0.020795406571664544,345,Random Forest
Bst1,0.02077108156510047,346,Random Forest
Col27a1,0.020761457401069047,347,Random Forest
Mgl2,0.020723263534919132,348,Random Forest
Hist1h2ap,0.020721472464906982,349,Random Forest
Tmx4,0.020707541191761453,350,Random Forest
Junb,0.020706056075955003,351,Random Forest
Rgs10,0.020703793963741314,352,Random Forest
Angpt2,0.02067192470309001,353,Random Forest
Zfhx3,0.020641873841096923,354,Random Forest
Fcgr2b,0.020491431434297092,355,Random Forest
Saa3,0.02047920653770533,356,Random Forest
Vtn,0.02046023285645816,357,Random Forest
Nfkbiz,0.020414076193529987,358,Random Forest
Actb,0.020355919975381734,359,Random Forest
Gng10,0.02035187363001513,360,Random Forest
1600010M07Rik,0.020342250843333944,361,Random Forest
mt-Co1,0.020336875509576687,362,Random Forest
Ramp1,0.02033317720616693,363,Random Forest
Ifngr1,0.020300482580249267,364,Random Forest
Serpina3n,0.02027374996129134,365,Random Forest
Fam167b,0.020239602603679248,366,Random Forest
Atp5g1,0.02023593438480189,367,Random Forest
Colec12,0.02022570071558009,368,Random Forest
Scgb3a1,0.02022264238117183,369,Random Forest
Syngr1,0.02021930691128074,370,Random Forest
Fgd2,0.020190781571301674,371,Random Forest
AI662270,0.020178436679946645,372,Random Forest
Ifit1,0.020178165911494086,373,Random Forest
Dusp2,0.020151714952543625,374,Random Forest
Cited2,0.020151002862258457,375,Random Forest
Thrsp,0.02015008764656467,376,Random Forest
Igfbp3,0.02013846078997348,377,Random Forest
Gm17056,0.02009590256000643,378,Random Forest
Serpinh1,0.02009233899332811,379,Random Forest
Ptprcap,0.020076042066997583,380,Random Forest
Plk2,0.020063395826453893,381,Random Forest
Gm5483,0.02003464754823654,382,Random Forest
Angptl4,0.020020717426718602,383,Random Forest
Hilpda,0.020017440192648187,384,Random Forest
Sod2,0.019993087076404115,385,Random Forest
Anxa2,0.019978030502081558,386,Random Forest
Fn1,0.019942778429010447,387,Random Forest
Aif1,0.019939519274216132,388,Random Forest
Tmem100,0.019898305655717305,389,Random Forest
Adamts4,0.019845985319260833,390,Random Forest
Zbp1,0.019831958787255372,391,Random Forest
Plvap,0.019785824647986783,392,Random Forest
Bin2,0.01978552416048321,393,Random Forest
Epsti1,0.019785150828620292,394,Random Forest
Abhd12,0.019782330701496598,395,Random Forest
Nr4a1,0.019751514226557475,396,Random Forest
Rgs1,0.01971032788273154,397,Random Forest
Cd37,0.01968822089032864,398,Random Forest
Asprv1,0.019686417038939488,399,Random Forest
Plpp1,0.019686226417535892,400,Random Forest
Stfa2l1,0.01966055173504455,401,Random Forest
Usp2,0.01965083257536884,402,Random Forest
Cst7,0.019628762397468396,403,Random Forest
Hexb,0.019628128584249355,404,Random Forest
Ptn,0.019627575387283255,405,Random Forest
Lair1,0.0196106680463171,406,Random Forest
Uap1l1,0.01960303849995242,407,Random Forest
Clec4b1,0.019577425495777786,408,Random Forest
Hmgb2,0.019574441126184127,409,Random Forest
Cd244,0.01949199669035616,410,Random Forest
Serpine2,0.019463036309630057,411,Random Forest
Vwf,0.019453832896699927,412,Random Forest
Ncf4,0.019449343122090693,413,Random Forest
Igfbp6,0.019399138679002666,414,Random Forest
Rab20,0.019389628956661166,415,Random Forest
Car4,0.019376044717731206,416,Random Forest
2310001H17Rik,0.019370193392042122,417,Random Forest
Cd83,0.019347611205582017,418,Random Forest
Sod3,0.019341831565035605,419,Random Forest
Cd86,0.019254537771657303,420,Random Forest
Prr13,0.019238290912742723,421,Random Forest
Asb2,0.019227150708457496,422,Random Forest
Fgl2,0.01918116251668988,423,Random Forest
Pla1a,0.019146303018036978,424,Random Forest
Zfos1,0.019145406135103567,425,Random Forest
Nkg7,0.019138966578920735,426,Random Forest
Stab1,0.019128599240010386,427,Random Forest
Nfil3,0.019096059815485077,428,Random Forest
Hmga1,0.01908186709798562,429,Random Forest
Cmtm7,0.019079947491611397,430,Random Forest
Col4a1,0.018991013235897716,431,Random Forest
Vcan,0.01897815204644428,432,Random Forest
Runx3,0.01896495826693556,433,Random Forest
Ifit3b,0.018961883274972748,434,Random Forest
Gpr182,0.018927226678350333,435,Random Forest
Cd300lg,0.018807452486693778,436,Random Forest
Csf1r,0.018760835898386452,437,Random Forest
Gm10116,0.018755332945480558,438,Random Forest
Tnfaip8l2,0.018747408600828627,439,Random Forest
Vim,0.018729948276346442,440,Random Forest
H2-DMb1,0.018711237321956214,441,Random Forest
Tarm1,0.018657002019142114,442,Random Forest
Bcl2a1a,0.018656051183494646,443,Random Forest
Trib1,0.018600814512534675,444,Random Forest
Snx2,0.018586749468772066,445,Random Forest
Nrp1,0.018567398808426953,446,Random Forest
Tmem176b,0.018560697015127886,447,Random Forest
Pilrb1,0.018548803403140714,448,Random Forest
Gbp2,0.01850978459784861,449,Random Forest
Lmna,0.01850644518559514,450,Random Forest
Ptpro,0.018503808844813893,451,Random Forest
Slco1a4,0.018494572871805084,452,Random Forest
Ctsa,0.018470555639356616,453,Random Forest
Pgk1,0.01843664302978548,454,Random Forest
Man2b1,0.018428753453258142,455,Random Forest
Hspa1a,0.018408671007367157,456,Random Forest
Ly86,0.018403949548067677,457,Random Forest
Oas3,0.018395487530292094,458,Random Forest
Icam1,0.018388810874120604,459,Random Forest
Cd300a,0.018383514344119615,460,Random Forest
Mgp,0.01837855964760477,461,Random Forest
Smim3,0.01837071959606388,462,Random Forest
Eno1,0.018348655651028955,463,Random Forest
Atp13a5,0.01828596162422894,464,Random Forest
Pid1,0.018281882446978554,465,Random Forest
Pag1,0.018256875457545563,466,Random Forest
H2-Oa,0.018154631809001384,467,Random Forest
Phf11b,0.018142086449985752,468,Random Forest
Cd180,0.01813205639551419,469,Random Forest
Adrb2,0.01812099598678212,470,Random Forest
Hacd2,0.018115378684573587,471,Random Forest
Tgtp2,0.018101010973963508,472,Random Forest
Adm,0.01810023263325174,473,Random Forest
Ndufa12,0.0180849340372098,474,Random Forest
Cyr61,0.018079758936288444,475,Random Forest
Blvrb,0.018048000660798532,476,Random Forest
Nrp2,0.01803224747393644,477,Random Forest
Hacd4,0.018028387835051393,478,Random Forest
Gatm,0.01800840189707787,479,Random Forest
Upk1b,0.01798672768931702,480,Random Forest
Slc6a6,0.017978136509296756,481,Random Forest
